phrase;replacements;message;url
"for what it's worth";"";"Don't use this word";
"forbidden";"";"Don't use this word";
"forcable";"forcible";"This is the correct spelling";
"force of nature";"";"Don't use this word";
"force to be reckoned with";"";"Don't use this word";
"forclose";"foreclose";"This is the correct spelling";
"fore skin";"";"Are you kidding! Why would you type this!";
"forebearance";"forbearance";"At least you should use the proper form.";
"foreclose againt";"foreclose on";"At least you should use the proper form.";
"foreclose from";"";"Don't use this word";
"forefather";"ancestor";"Using gender neutral language means users will help to break up gender stereotypes";
"forefathers";"ancestors";"Using gender neutral language means users will help to break up gender stereotypes";
"foregone";"";"Don't use this word";
"foreign imports";"imports";"At least you should use the proper form.";
"foreign sounding name";"foreign-sounding name";"At least you should use the proper form.";
"foreman";"supervisor","shift boss";"Using gender neutral language means users will help to break up gender stereotypes";
"foremen";"supervisors","shift bosses";"Using gender neutral language means users will help to break up gender stereotypes";
"foremother";"ancestor";"Using gender neutral language means users will help to break up gender stereotypes";
"foremothers";"ancestors";"Using gender neutral language means users will help to break up gender stereotypes";
"foreskin";"";"Are you kidding! Why would you type this!";
"foreswear";"forswear";"This is the correct spelling";
"forever and ever";"forever";"At least you should use the proper form.";
"forewent";"";"Don't use this word";
"forewoman";"supervisor","shift boss";"Using gender neutral language means users will help to break up gender stereotypes";
"forewomen";"supervisors","shift bosses";"Using gender neutral language means users will help to break up gender stereotypes";
"forgive and forget";"";"Don't use this word";
"forgiven";"";"Don't use this word";
"forgiving";"lenient";"Emotional Word Detected";
"forgotten";"";"Don't use this word";
"former alumnus";"alumnus";"At least you should use the proper form.";
"former graduate";"graduate";"This is the correct format";
"former veteran";"veteran";"At least you should use the proper form.";
"fornicate";"";"Are you kidding! Why would you type this!";
"forsaken";"";"Don't use this word";
"forsooth";"";"Don't use this word";
"forward planning";"planning";"Use this form, it's better. Trust me.";
"fought";"";"Don't use this word";
"found missing";"";"No. Just no. Don't say this";
"found";"";"Don't use this word";
"founding father";"the founders","founding leaders","forebears";"Use this form, it's better. Trust me.";
"founding forefathers";"founding fathers";"At least you should use the proper form.";
"four 20";"";"Are you kidding! Why would you type this!";
"four part harmony";"four-part harmony";"At least you should use the proper form.";
"four twenty";"";"Are you kidding! Why would you type this!";
"four20";"";"Are you kidding! Why would you type this!";
"fourth quarter gain";"fourth-quarter gain";"At least you should use the proper form.";
"fourth quarter loss";"fourth-quarter loss";"At least you should use the proper form.";
"fourtwenty";"";"Are you kidding! Why would you type this!";
"fox in the henhouse";"";"Don't use this word";
"fox-like";"vulpine";"There is a word for that";
"fraudful";"fraudulent";"At least you should use the proper form.";
"freak fuck";"";"Are you kidding! Why would you type this!";
"freakfuck";"";"Are you kidding! Why would you type this!";
"freaky fucker";"";"Are you kidding! Why would you type this!";
"freakyfucker";"";"Are you kidding! Why would you type this!";
"free 4 all";"";"Are you kidding! Why would you type this!";
"free and easy";"";"Don't use this word";
"free and gratis";"free";"At least you should use the proper form.";
"free as a bird";"";"Don't use this word";
"free for all";"";"Are you kidding! Why would you type this!";
"free fuck";"";"Are you kidding! Why would you type this!";
"free gift";"gift";"At least you should use the proper form.";
"free gifts";"gifts";"At least you should use the proper form.";
"free gratis";"free";"At least you should use the proper form.";
"free range chicken";"free-range chicken";"At least you should use the proper form.";
"free range poultry";"free-range poultry";"At least you should use the proper form.";
"free reign";"free rein";"This is the correct spelling";
"free4all";"";"Are you kidding! Why would you type this!";
"freeforall";"";"Are you kidding! Why would you type this!";
"freefuck";"";"Are you kidding! Why would you type this!";
"frenchmen";"french","the french";"Using gender neutral language means users will help to break up gender stereotypes";
"frequent";"recurring";"Weasel Word Detected";
"frequently";"regularly";"Weasel Word Detected";
"fresh as a daisy";"";"Don't use this word";
"freshman";"first-year student","fresher";"Using gender neutral language means users will help to break up gender stereotypes";
"freshmen";"first-year students","freshers";"Using gender neutral language means users will help to break up gender stereotypes";
"freshwoman";"first-year student","fresher";"Using gender neutral language means users will help to break up gender stereotypes";
"freshwomen";"first-year students","freshers";"Using gender neutral language means users will help to break up gender stereotypes";
"friday";"Friday";"At least you should use the proper form.";
"frog-like";"ranine";"There is a word for that";
"frogs";"army";"A group of frogs  is called a  army";
"from whence";"";"Are you kidding! Why would you type this!";
"front men";"lead","front","figurehead";"Using gender neutral language means users will help to break up gender stereotypes";
"front women";"lead","front","figurehead";"Using gender neutral language means users will help to break up gender stereotypes";
"frontman";"lead","front","figurehead";"Using gender neutral language means users will help to break up gender stereotypes";
"frontwoman";"lead","front","figurehead";"Using gender neutral language means users will help to break up gender stereotypes";
"frozen ice";"ice";"At least you should use the proper form.";
"frozen tundra";"tundra";"At least you should use the proper form.";
"frozen";"";"Don't use this word";
"frustrated";"annoyed";"Emotional Word Detected";
"frustration";"annoyance";"Emotional Word Detected";
"fuck bag";"";"Are you kidding! Why would you type this!";
"fuck buddy";"";"Are you kidding! Why would you type this!";
"fuck face";"";"Are you kidding! Why would you type this!";
"fuck fest";"";"Are you kidding! Why would you type this!";
"fuck freak";"";"Are you kidding! Why would you type this!";
"fuck friend";"";"Are you kidding! Why would you type this!";
"fuck head";"";"Are you kidding! Why would you type this!";
"fuck her";"";"Are you kidding! Why would you type this!";
"fuck it";"";"Are you kidding! Why would you type this!";
"fuck knob";"";"Are you kidding! Why would you type this!";
"fuck me hard";"";"Are you kidding! Why would you type this!";
"fuck me";"";"Are you kidding! Why would you type this!";
"fuck monkey";"";"Are you kidding! Why would you type this!";
"fuck off";"";"Are you kidding! Why would you type this!";
"fuck pig";"";"Are you kidding! Why would you type this!";
"fuck them";"";"Are you kidding! Why would you type this!";
"fuck whore";"";"Are you kidding! Why would you type this!";
"fuck you";"";"Are you kidding! Why would you type this!";
"fuck";"";"Are you kidding! Why would you type this!";
"fucka";"";"Are you kidding! Why would you type this!";
"fuckable";"";"Are you kidding! Why would you type this!";
"fuckbag";"";"Are you kidding! Why would you type this!";
"fuckbuddy";"";"Are you kidding! Why would you type this!";
"fucked up";"";"Are you kidding! Why would you type this!";
"fucked";"";"Are you kidding! Why would you type this!";
"fuckedup";"";"Are you kidding! Why would you type this!";
"fucker";"";"Are you kidding! Why would you type this!";
"fuckers";"";"Are you kidding! Why would you type this!";
"fuckface";"";"Are you kidding! Why would you type this!";
"fuckfest";"";"Are you kidding! Why would you type this!";
"fuckfreak";"";"Are you kidding! Why would you type this!";
"fuckfriend";"";"Are you kidding! Why would you type this!";
"fuckhead";"";"Are you kidding! Why would you type this!";
"fuckher";"";"Are you kidding! Why would you type this!";
"fuckin a";"";"Are you kidding! Why would you type this!";
"fuckin nuts";"";"Are you kidding! Why would you type this!";
"fuckin right";"";"Are you kidding! Why would you type this!";
"fuckin";"";"Are you kidding! Why would you type this!";
"fuckina";"";"Are you kidding! Why would you type this!";
"fucking a";"";"Are you kidding! Why would you type this!";
"fucking bitch";"";"Are you kidding! Why would you type this!";
"fucking nuts";"";"Are you kidding! Why would you type this!";
"fucking";"";"Are you kidding! Why would you type this!";
"fuckingbitch";"";"Are you kidding! Why would you type this!";
"fuckinnuts";"";"Are you kidding! Why would you type this!";
"fuckinright";"";"Are you kidding! Why would you type this!";
"fuckit";"";"Are you kidding! Why would you type this!";
"fuckknob";"";"Are you kidding! Why would you type this!";
